Tamanho;Crescente;Decrescente;Aleatorio
10000;0.01820;0.01800;0.03260
20000;0.04140;0.05980;0.07540
30000;0.06040;0.06300;0.08460
40000;0.08060;0.08800;0.10280
50000;0.12380;0.13500;0.15000
60000;0.12160;0.16360;0.16620
70000;0.13540;0.18100;0.21460
80000;0.17040;0.19220;0.24480
90000;0.16360;0.24880;0.32620
100000;0.20260;0.26060;0.32860
110000;0.21420;0.31220;0.35560
120000;0.25960;0.29480;0.35480
130000;0.26820;0.32480;0.47020
140000;0.31540;0.38580;0.47720
150000;0.36380;0.41260;0.49620
160000;0.35500;0.44460;0.55720
170000;0.37500;0.49380;0.57980
180000;0.39820;0.47820;0.64780
190000;0.40760;0.51380;0.69040
200000;0.43320;0.51680;0.74720
